fileName,centromere_ABS_Position,centromere_PER_Position,avergeRED,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3,notes
8jun15_23apr15_PWD_f2_sp1_17_rev,46,2.7682,0.060102,10,8jun15_23apr15_PWD_f2_sp1_17_rev_10,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_17_rev,187,4.1789,0.022309,12,8jun15_23apr15_PWD_f2_sp1_17_rev_12,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_17_rev,55,8.3077,0.15212,13,8jun15_23apr15_PWD_f2_sp1_17_rev_13,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_17_rev,41,2.2857,0.055437,14,8jun15_23apr15_PWD_f2_sp1_17_rev_14,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_17_rev,86,1.8182,0.021123,24,8jun15_23apr15_PWD_f2_sp1_17_rev_24,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_17_rev,79,13.0303,0.16398,26,8jun15_23apr15_PWD_f2_sp1_17_rev_26,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_18_rev,105,6.8481,0.065454,7,8jun15_23apr15_PWD_f2_sp1_18_rev_7,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_18_rev,109,3.1868,0.029354,8,8jun15_23apr15_PWD_f2_sp1_18_rev_8,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_18_rev,162,3.5873,0.022113,9,8jun15_23apr15_PWD_f2_sp1_18_rev_9,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_18_rev,108,8.2353,0.075989,12,8jun15_23apr15_PWD_f2_sp1_18_rev_12,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_18_rev,81,7.2175,0.089023,13,8jun15_23apr15_PWD_f2_sp1_18_rev_13,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_18_rev,7,0.24465,0.035285,17,8jun15_23apr15_PWD_f2_sp1_18_rev_17,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_19_rev,80,13.463,0.16788,10,8jun15_23apr15_PWD_f2_sp1_19_rev_10,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_19_rev,97,4.514,0.046429,14,8jun15_23apr15_PWD_f2_sp1_19_rev_14,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_2_rev,92,6.3124,0.068713,5,8jun15_23apr15_PWD_f2_sp1_2_rev_5,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_2_rev,76,6.3625,0.083859,9,8jun15_23apr15_PWD_f2_sp1_2_rev_9,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_2_rev,61,8.2529,0.13524,10,8jun15_23apr15_PWD_f2_sp1_2_rev_10,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_2_rev,103,7.3979,0.071757,17,8jun15_23apr15_PWD_f2_sp1_2_rev_17,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_2_rev,147,4.8301,0.032909,19,8jun15_23apr15_PWD_f2_sp1_2_rev_19,0,,,,,,,,
