"fileName","chromosomeLength","centromere_ABS_Position","centromere_PER_Position","avergeRED","numberCrossOvers","boxNumber","foci_ABS_Position_1","Obj.ID","mouse","strain","subsp","sex","category","SC.pass","foci.pass","curated.1pass.0fail","curation.notes","hand.foci.count","Foci1","Foci2","Foci3","notes"
"12oct18_26sep18_CZECH_m1_sp1_13_rev",172,3.9394,0.022959,0.62934,4,4,6,"12oct18_26sep18_CZECH_m1_sp1_13_rev_4","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_13_rev",107,6.4335,0.060195,0.63365,2,5,39,"12oct18_26sep18_CZECH_m1_sp1_13_rev_5","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_13_rev",106,3.1718,0.029789,0.61543,4,7,4,"12oct18_26sep18_CZECH_m1_sp1_13_rev_7","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_13_rev",83,4.8472,0.058429,0.63088,4,8,5,"12oct18_26sep18_CZECH_m1_sp1_13_rev_8","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_14_rev",79,4.9966,0.063279,0.48237,1,1,43,"12oct18_26sep18_CZECH_m1_sp1_14_rev_1","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_14_rev",75,5.8164,0.077597,0.45052,4,10,33,"12oct18_26sep18_CZECH_m1_sp1_14_rev_10","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_14_rev",94,6.5963,0.070177,0.44864,2,11,39,"12oct18_26sep18_CZECH_m1_sp1_14_rev_11","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_14_rev",70,7.4316,0.10664,0.44643,3,12,24,"12oct18_26sep18_CZECH_m1_sp1_14_rev_12","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_14_rev",124,3.3076,0.026735,0.46652,1,13,44,"12oct18_26sep18_CZECH_m1_sp1_14_rev_13","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_14_rev",114,6.0199,0.052599,0.39057,1,14,85,"12oct18_26sep18_CZECH_m1_sp1_14_rev_14","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_14_rev",123,6.241,0.050883,0.46708,6,2,5,"12oct18_26sep18_CZECH_m1_sp1_14_rev_2","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_14_rev",51,2.4912,0.048622,0.4886,1,3,30,"12oct18_26sep18_CZECH_m1_sp1_14_rev_3","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_14_rev",92,5.63,0.061429,0.46892,3,4,3,"12oct18_26sep18_CZECH_m1_sp1_14_rev_4","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_14_rev",98,6.9067,0.070497,0.4816,1,5,93,"12oct18_26sep18_CZECH_m1_sp1_14_rev_5","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_14_rev",93,7.6642,0.082764,0.48873,2,7,11,"12oct18_26sep18_CZECH_m1_sp1_14_rev_7","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
