Batch,,Original Name,Random Name ,quality,n ,nMLH1.foci,REDO crop,XY paired,achiasmate,asynased,notes
Batch0,,20jul15_18may15_PWD_m2_sp1_3.3_rev.tif,10755-32067-5141.tif,2,20,30,no,yes,0,0,
Batch0,,20jul15_18may15_PWD_m2_sp1_5.2_rev.tif,5757-31955-31317.tif,3,20,27,no,yes,0,0,nonhomlog tangle
Batch0,,10jun15_18may15_WSB_m1_sp1_10_rev.tif,20285-29824-593.tif,1,20,24,yes,yes,0,0,some extra SC signal
Batch0,,10jun15_18may15_WSB_m1_sp1_11_rev.tif,27781-3492-31492.tif,,20,26,no,yes,0,0,
Batch0,,10jun15_18may15_WSB_m1_sp1_12_rev.tif,12507-1254-6593.tif,4,20,23,no,yes,0,0,
Batch0,,10jun15_18may15_WSB_m1_sp1_15_rev.tif,19186-25374-13053.tif,2,20,26,yes,yes,0,0,
Batch0,,10jun15_18may15_WSB_m1_sp1_16.1_rev.tif,32682-5241-5749.tif,1,20,23,no,yes,0,0,nonhomolog tangle
Batch0,,10jun15_18may15_WSB_m1_sp1_17_rev.tif,31860-16142-12333.tif,3,20,26,no,yes,0,0,
Batch0,,10jun15_18may15_WSB_m1_sp1_19_rev.tif,11767-3418-16480.tif,2,20,28,no,1 CO,0,0,possible non-homlogus tangle
Batch0,,10jun15_18may15_WSB_m1_sp1_20_rev.tif,24943-1741-6205.tif,1,20,26,yes,no,0,0,
Batch0,,10jun15_18may15_WSB_m1_sp1_3_rev.tif,22619-10317-23890.tif,1,20,26,no,yes,0,0,
Batch0,,10jun15_18may15_WSB_m1_sp1_5_rev.tif,19622-7352-14022.tif,1,20,24,yes,yes,0,0,
Batch0,,10jun15_18may15_WSB_m1_sp1_6_rev.tif,23676-6056-2413.tif,2,20,27,no,yes,0,0,
Batch0,,10jun15_18may15_WSB_m1_sp1_8.1_rev.tif,4525-18929-12554.tif,1,20,25,no,yes,0,0,nonhomlog tangle
Batch0,,10jun15_18may15_WSB_m1_sp1_8.2_rev.tif,835-4220-19923.tif,2,20,24,no,yes,0,0,possible non homolog tangle
